Date,SP500,SP500 Ret,Port Ret,Rolling_beta_1_week,Rolling_beta_2_week,Rolling_1_month
2019-08-12,2882.699951,-0.005382563,0.014321432,0.013316622,0.038128215,0.006262636
2019-08-13,2926.320068,0.006522385,0.008756344,-0.00856759,0.024312671,-0.024891842
2019-08-14,2840.600098,-0.012911728,0.037045153,-0.042357664,0.022008847,-0.011132265
2019-08-15,2847.600098,0.001068902,0.009898496,-0.292327453,-0.091787154,-0.066687185
2019-08-16,2888.679932,0.006220425,0.032559124,-0.380755203,-0.085894204,-0.063855283
2019-08-19,2923.649902,0.005225942,0.004671008,-0.195209957,-0.027569253,-0.037773443
2019-08-20,2900.51001,-0.003450997,0.007554687,-0.211419873,-0.02762347,-0.036449135
2019-08-21,2924.429932,0.003566852,-0.008246535,-0.14176729,-0.034719155,-0.031733281
2019-08-22,2922.949951,-0.000219841,-0.008321192,-0.212829438,-0.044144288,-0.039451994
2019-08-23,2847.110107,-0.011417116,-0.014023036,-0.154663043,-0.108373854,-0.035691004
2019-08-26,2878.379883,0.004743848,-0.007462311,-0.017476441,-0.036705745,-0.008004932
2019-08-27,2869.159912,-0.001393356,-0.003636745,0.186334971,-0.080631256,-0.01705157
2019-08-28,2887.939941,0.002833403,0.004096976,0.195890761,-0.076968293,-0.012564133
2019-08-29,2924.580078,0.00547536,0.006332343,0.267386736,-0.077381113,-0.00910982
2019-08-30,2926.459961,0.000279069,0.010493806,0.275025512,-0.038928044,-0.001235273
2019-09-03,2906.27002,-0.003006625,0.00478829,0.312918034,-0.049705689,0.004092204
2019-09-04,2937.780029,0.004683312,-0.016137911,0.3166632,-0.033068952,-0.007186452
2019-09-05,2976,0.005613653,0.002665936,0.136028437,-0.06578466,-0.01903687
2019-09-06,2978.709961,0.000395291,0.007087519,-0.11188258,0.123523838,-0.015031256
2019-09-09,2978.429932,-4.08E-05,-0.001435337,-0.096124707,0.124422931,-0.020828737
2019-09-10,2979.389893,0.000139952,0.000144663,-0.126118874,0.089396575,-0.020404114
2019-09-11,3000.929932,0.003128515,-0.006968762,-0.123999146,0.065095542,-0.026591156
2019-09-12,3009.570068,0.001248604,0.015915088,-0.183272953,0.097523886,-0.024838736
2019-09-13,3007.389893,-0.000314723,0.005992562,-0.130102403,0.098033356,-0.059981317
2019-09-16,2997.959961,-0.001363907,-0.00499461,-0.115258294,0.087067702,-0.068888208
2019-09-17,3005.699951,0.001119796,-0.000569091,0.001525171,-0.081841646,-0.078874475
2019-09-18,3006.72998,0.000148804,0.004496099,-0.007604944,-0.053383242,-0.082056175
2019-09-19,3006.790039,8.67E-06,-0.008368298,-0.008994348,-0.076541211,-0.082139028
2019-09-20,2992.070068,-0.002131343,0.010868002,0.000155484,-0.058926554,-0.056152265
2019-09-23,2991.780029,-4.21E-05,-0.01008303,-0.044586588,-0.106746192,-0.067344438
2019-09-24,2966.600098,-0.003670652,0.003169618,0.006996686,-0.09269021,-0.048719425
2019-09-25,2984.870117,0.002666431,0.017019205,-0.076305275,-0.089964326,-0.058756687
2019-09-26,2977.620117,-0.001056148,0.006665026,0.036364763,0.016535352,0.087097309
2019-09-27,2961.790039,-0.002315022,-0.02888438,0.021287302,0.009489553,0.08451418
2019-09-30,2976.73999,0.002186634,0.000966354,0.045343673,0.040129375,0.054230106
2019-10-01,2940.25,-0.005356643,0.002011505,0.046697588,0.041076201,0.046851542
2019-10-02,2887.610107,-0.007845705,0.010144872,0.045820988,0.036643286,0.053533322
2019-10-03,2910.629883,0.003448431,-0.00787877,0.00554124,0.018422387,0.033735316
2019-10-04,2952.01001,0.006130842,-0.001572562,-0.012659009,-0.022776732,0.023374071
2019-10-07,2938.790039,-0.001949267,-0.006034344,-0.015117784,-0.030442335,-0.043384663
2019-10-08,2893.060059,-0.00681111,-0.022651475,-0.073353068,-0.027847412,-0.024253786
2019-10-09,2919.399902,0.00393614,0.005482283,0.019737738,0.036787223,0.029901864
2019-10-10,2938.129883,0.002777401,0.003591805,0.067117091,0.050123384,0.032952709
2019-10-11,2970.27002,0.004724941,0.012190267,0.080244757,0.061525246,0.025223949
2019-10-14,2966.149902,-0.000602836,-0.003989148,0.157833821,0.10141907,0.042580508
2019-10-15,2995.679932,0.004302315,-0.009542411,0.327437218,0.106437535,0.049088739
2019-10-16,2989.689941,-0.00086926,0.005488354,0.307626297,0.094211008,0.062938467
2019-10-17,2997.949951,0.001198228,-0.005740219,0.262213223,0.079974062,0.05534369
2019-10-18,2986.199951,-0.001705494,-0.014442689,0.247718119,0.087838964,0.052941118
2019-10-21,3006.719971,0.002974098,0.001327688,0.133765899,0.091556935,0.057531861
2019-10-22,2995.98999,-0.001552624,0.021614258,0.120887155,0.094160869,0.059529243
2019-10-23,3004.52002,0.001234744,-0.020527109,-0.005039083,0.051559607,0.047842057
2019-10-24,3010.290039,0.000833239,0.012040203,-0.054448815,0.095650218,0.033689374
2019-10-25,3022.550049,0.001765159,0.00070206,-0.047005371,0.092871952,0.036068706
2019-10-28,3039.419922,0.002417205,0.013396567,-0.023654216,0.093940935,0.035356957
2019-10-29,3036.889893,-0.00036166,-0.00822682,-0.000721521,0.090278389,0.041574984
2019-10-30,3046.77002,0.001410627,0.008736449,0.008191979,0.019761613,0.042227431
2019-10-31,3037.560059,-0.0013148,-0.022096952,-0.022083254,0.013480665,0.044485223
2019-11-01,3066.909912,0.004176146,-0.011254614,0.014104801,0.031115671,0.054869737
2019-11-04,3078.27002,0.001605693,0.010012246,0.035569743,-0.004152014,0.045130738
2019-11-05,3074.620117,-0.000515248,0.013096462,0.044578667,-0.00250926,0.050924932
2019-11-06,3076.780029,0.000304984,0.024554675,0.029207012,0.002087828,0.040095913
2019-11-07,3085.179932,0.00118405,0.017570803,0.011268973,0.000438593,0.036814889
2019-11-08,3093.080078,0.001110666,0.000108862,0.004801263,0.003006423,0.024979271
2019-11-11,3087.01001,-0.000853126,0.004385453,-0.005047481,-0.013189848,0.024878829
2019-11-12,3091.840088,0.000678986,-0.024105879,-0.005966122,-0.01131164,0.025031762
2019-11-13,3094.040039,0.000308906,-0.014405316,-0.035405441,0.005058662,0.040523821
2019-11-14,3096.629883,0.000363371,0.001721472,-0.000931361,0.010988493,0.044953255
2019-11-15,3120.459961,0.003329314,0.00258074,-0.005287994,0.011357402,0.04608377
2019-11-18,3122.030029,0.000218462,-0.015829997,0.001814433,0.012764463,0.044435363
2019-11-19,3120.179932,-0.000257437,-0.006688375,0.018997724,0.008838844,0.012277879
2019-11-20,3108.459961,-0.001634361,-0.004514759,0.019475543,0.008104615,0.01088113
2019-11-21,3103.540039,-0.000687925,0.009691481,0.00769547,0.00848605,0.011637935
2019-11-22,3110.290039,0.000943537,0.004443976,0.002650263,-0.01181178,-0.00185373
2019-11-25,3133.639893,0.003248198,0.011950877,0.026473667,0.006832135,-0.002571725
2019-11-26,3140.52002,0.000952479,0.023187984,0.084229135,0.014648827,0.010998656
2019-11-27,3153.629883,0.001809156,0.011635665,0.051658496,0.020250251,0.012431458
2019-11-29,3140.97998,-0.001745554,-0.001752642,0.059608865,0.032130382,0.014941723
2019-12-02,3113.870117,-0.003764675,-0.006427566,0.106838406,0.034720345,0.00957503
2019-12-03,3093.199951,-0.002892499,-0.001813965,0.169684938,0.046458162,0.017013308
2019-12-04,3112.76001,0.002737644,-0.004606006,0.192268574,0.051162816,0.029454775
2019-12-05,3117.429932,0.000651063,0.024219224,0.135897847,0.070784247,0.033093086
2019-12-06,3145.909912,0.003949581,-0.000312138,0.102994675,0.068019533,0.030240954
2019-12-09,3135.959961,-0.001375773,-0.015032911,0.062849935,0.060652366,0.028859549
2019-12-10,3132.52002,-0.000476654,0.009741854,0.07567718,0.06566908,0.029986785
